pHsoil,Ecsoil,CECsoil,OC,Ptemp, C,N,H,O,pHbc,Ecbc,Ash,SSA,ITCC,BCC,SMC,BCAR,IT,CIE
8.9,,17.5,16000,700,81.3,0,3.75,16.5,10,,21.2,,4.7,0,50,3,30,64.32701203
3.63,0.22,2.88,1000,450,32.71,2.19,2.7,0.91,10.07,0.47,61.02,4.28,0.5,0.24,,10,180,28.57142857
5.84,0.23,7.1,53800,600,24.99,0.38,1.22,10.31,10.88,0.47,62.74,35.97,0.99,0.35,,10,180,15
5.7,0.15,11.7,4872,500,20.5,2.6,,,10.2,0.82,,,4.8,0.02,75,10,28,97.83
4.68,0.06,11.7,13400,600,24.99,0.38,1.22,10.31,10.88,0.47,62.74,35.97,0.5,0.35,,10,180,0
8.4,0.19,,14900,,76.5,,2.8,19.8,10.7,1.9,,9.8,39.9,0,65,10,50,18.7899327
6.8,,,28890,,75.84,0.15,2.53,19.93,9.98,,,790,2.1,0,70,3,30,33.11546841
6.7,,,3320,300,35.79,2.81,3.19,15.42,9.7,,42.76,2.88,1.8,0,70,2,77,17.07317073
5.6,,10.4,32500,700,81.3,0,3.75,16.5,10,,21.2,,3.2,0,50,3,60,5.633802817
7.7,0.72,,,450,56.29,0.56,3.02,,6.6,1.485,43.4,186.79,20.9,0,70,0.5,30,5.438992787
4.68,0.06,11.7,13400,450,29.13,1.5,1.76,12.79,10.59,0.4,54.44,5.68,0.5,0.36,,10,180,14.28571429
4.43,,11.3,29800,300,67.7,1.6,4.1,23.3,8.6,,5.8,6.5,2.2,0,70,5,365,40.59757958
8.47,1.3,14.5,21900,650,75.6,0.25,3.23,18.9,3.25,0.421,1.66,0.81,50,0,47.5,5,140,0.2
4.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,120,-12.76595745
5.93,0.698,21.36,19520,600,,,,,,,,46.2,3,0,60,4,56,50.27632237
